Month,LongReturn,ShortReturn,MomentumReturn
2020-01-01,0.0028407408628365466,-0.004524600947344387,0.007365341810180934
2020-02-01,-0.0040181403884726775,-0.013984280842942695,0.009966140454470017
2020-03-01,0.009440894033933694,0.012945590640431989,-0.003504696606498294
2020-04-01,0.0056205259948599075,0.007831904729823792,-0.002211378734963885
2020-05-01,0.004244560896862878,0.005524294347981974,-0.001279733451119096
2020-06-01,0.0021590947033699247,0.001925640297684483,0.00023345440568544175
2020-07-01,0.0023395806958211307,0.003400937466057314,-0.0010613567702361833
2020-08-01,-0.0015711095046410056,0.00022562378496218243,-0.001796733289603188
2020-09-01,0.000546174207125997,0.0003086909753774412,0.00023748323174855576
2020-10-01,0.008312764676114932,0.06640049649947119,-0.05808773182335626
2020-11-01,0.004990779298385921,0.0038790145358047912,0.0011117647625811296
2020-12-01,0.0035962417208290505,0.008139999326358853,-0.004543757605529802
2021-01-01,0.002916737401505886,0.0075117363158172315,-0.004594998914311346
2021-02-01,0.0027973370118509954,-0.001022911071661532,0.0038202480835125277
2021-03-01,0.0011540923984176064,0.0011435188784114322,1.0573520006174238e-05
2021-04-01,0.0015182797628386074,0.0015435538967817051,-2.527413394309776e-05
2021-05-01,0.004081857772821301,0.0016111039503221582,0.002470753822499143
2021-06-01,-0.002364282666050616,-0.0031713807843224036,0.0008070981182717878
2021-07-01,0.0017174479816972365,0.0024759356223819193,-0.0007584876406846828
2021-08-01,0.00019296699196693658,-0.0005344925626017286,0.0007274595545686651
2021-09-01,0.002805049889086884,0.001665227676261015,0.0011398222128258689
2021-10-01,-0.002230133836369523,-0.003197659244366384,0.000967525407996861
2021-11-01,-0.0004870755003899431,-0.0001988629999340085,-0.00028821250045593454
2021-12-01,-0.006534452432365244,-0.00787897152494241,0.0013445190925771653
2022-01-01,-0.00012072982271010111,0.0009953633994400312,-0.0011160932221501324
2022-02-01,0.002964300366621614,0.00043532412147038974,0.0025289762451512245
2022-03-01,-0.005951089967643793,-0.0074089160537791875,0.0014578260861353946
2022-04-01,0.0010347798651656973,-0.0015694933281332056,0.0026042731932989028
2022-05-01,-0.0062005701368133895,-0.000972700056706116,-0.005227870080107273
2022-06-01,0.004821614238784614,0.008034607974120516,-0.0032129937353359023
2022-07-01,0.0005773978917266786,0.002129074258557874,-0.0015516763668311953
2022-08-01,-0.0050611797135178835,-0.006575549160068998,0.0015143694465511144
2022-09-01,0.0032120952814926307,0.004780814897191718,-0.0015687196156990873
2022-10-01,0.000781827807979231,0.0019444319500004888,-0.0011626041420212578
2022-11-01,-0.0029220360764497136,-0.0017247233486995927,-0.0011973127277501209
2022-12-01,0.006890831188320805,0.010563995977914317,-0.0036731647895935117
2023-01-01,0.0003499210161815704,-0.0019107029636053696,0.0022606239797869397
2023-02-01,-0.0017202477854055412,-0.0026728020207529716,0.0009525542353474303
2023-03-01,-8.316372680334527e-05,-0.0007459397948278794,0.0006627760680245342
2023-04-01,0.00025985208648958766,0.003833891895163686,-0.0035740398086740984
2023-05-01,0.0033839959401185424,0.005573179198305553,-0.0021891832581870103
2023-06-01,0.004567365415652645,0.0035206555791409033,0.001046709836511742
2023-07-01,-0.003240868752511672,-0.002044593124705224,-0.001196275627806448
2023-08-01,-0.00409868218865197,-0.003590006752194796,-0.0005086754364571743
2023-09-01,-0.00414888758315477,-0.0035989615400524844,-0.0005499260431022853
2023-10-01,0.00553773647453485,0.006263667799298254,-0.0007259313247634036
2023-11-01,0.009608553395978018,0.007222055893866154,0.0023864975021118647
